Nondimentionalized time,Theory radial position 2.97133177mm,FEM radial position 2.97133177mm,Theory radial position 2.99800829mm,FEM radial position 2.99800829mm,Theory radial position 0.0mm,FEM radial position 0.0mm,Theory radial position 2.95887294mm,FEM radial position 2.95887294mm,Theory radial position 1.53020521mm,FEM radial position 1.53020521mm,Theory radial position 2.99922927mm,FEM radial position 2.99922927mm,Theory radial position 2.99043116mm,FEM radial position 2.99043116mm,Theory radial position 2.98005295mm,FEM radial position 2.98005295mm,Theory radial position 0.900120712mm,FEM radial position 0.900120712mm,Theory radial position 1.97126436mm,FEM radial position 1.97126436mm,Theory radial position 2.75330634mm,FEM radial position 2.75330634mm,Theory radial position 2.49612475mm,FEM radial position 2.49612475mm,Theory radial position 2.99342252mm,FEM radial position 2.99342252mm,Theory radial position 2.64740804mm,FEM radial position 2.64740804mm,Theory radial position 2.99872651mm,FEM radial position 2.99872651mm,Theory radial position 2.82743515mm,FEM radial position 2.82743515mm,Theory radial position 2.87932532mm,FEM radial position 2.87932532mm,Theory radial position 2.9995812mm,FEM radial position 2.9995812mm,Theory radial position 2.98615778mm,FEM radial position 2.98615778mm,Theory radial position 2.99982755mm,FEM radial position 2.99982755mm,Theory radial position 2.91564843mm,FEM radial position 2.91564843mm,Theory radial position 2.94107462mm,FEM radial position 2.94107462mm,Theory radial position 2.99698225mm,FEM radial position 2.99698225mm,Theory radial position 3.0mm,FEM radial position 3.0mm,Theory radial position 2.99551648mm,FEM radial position 2.99551648mm,Theory radial position 2.28000576mm,FEM radial position 2.28000576mm
6.088054104727467e-6,9.431459107745787e-5,9.26097e-5,1.4299801461358114e-5,2.28936e-5,9.488818963265524e-5,9.48259e-5,9.488174797674485e-5,9.4403e-5,9.489631023313843e-5,9.4826e-5,5.561457116045034e-6,9.73959e-6,6.0639983332629393e-5,6.87744e-5,8.94956007620842e-5,8.80315e-5,9.489704887399372e-5,9.4826e-5,9.489720897452133e-5,9.4826e-5,9.489512214121083e-5,9.4826e-5,9.489692889599198e-5,9.4826e-5,4.458350497101428e-5,5.61126e-5,9.489722454378784e-5,9.4826e-5,9.175262286578483e-6,1.54378e-5,9.489494712944967e-5,9.48261e-5,9.489868361247809e-5,9.48257e-5,3.0238525035564453e-6,5.49654e-6,7.722282381502062e-5,7.99105e-5,1.24539718993622e-6,2.39463e-6,9.490043275023829e-5,9.48279e-5,9.489092134091825e-5,9.48022e-5,2.150114372169188e-5,3.2297e-5,-0.0,1.09113e-6,3.142935245643293e-5,4.356e-5,9.489644815262237e-5,9.4826e-5
1.2395278157225124e-5,8.974317819495076e-5,8.84135e-5,1.0061228051553821e-5,1.29522e-5,9.497945773856745e-5,9.49164e-5,9.441635259401223e-5,9.32147e-5,9.497947257484518e-5,9.49165e-5,3.902967362938717e-6,5.11692e-6,4.537724258074063e-5,5.21086e-5,7.76810237696471e-5,7.91382e-5,9.497947391324156e-5,9.49165e-5,9.497947422101941e-5,9.49164e-5,9.497947036177182e-5,9.49164e-5,9.497947381164672e-5,9.49164e-5,3.2286171330883267e-5,3.88934e-5,9.497947443229678e-5,9.49165e-5,6.444142404884414e-6,8.37212e-6,9.497946979728617e-5,9.49167e-5,9.497947527474918e-5,9.49154e-5,2.1214272629975784e-6,2.8221e-6,6.130297199546815e-5,6.62642e-5,8.736291460205107e-7,1.21097e-6,9.497947580805226e-5,9.49243e-5,9.497182403624024e-5,9.47314e-5,1.5186895599665715e-5,1.92993e-5,-0.0,5.4699e-7,2.2382116166289638e-5,2.78606e-5,9.497947276916187e-5,9.49165e-5
1.9104922586045265e-5,8.340271314401712e-5,8.32509e-5,8.115377747421799e-6,9.67088e-6,9.504629733430571e-5,9.49881e-5,9.250860435970418e-5,9.11199e-5,9.50462973524957e-5,9.49874e-5,3.1453538900079213e-6,3.79446e-6,3.741206665525378e-5,4.22583e-5,6.818052036029203e-5,7.0849e-5,9.504629735411964e-5,9.49875e-5,9.504629735451528e-5,9.49878e-5,9.50462973499083e-5,9.49879e-5,9.504629735415043e-5,9.49878e-5,2.6305482277023635e-5,3.04517e-5,9.50462973549846e-5,9.49876e-5,5.194653758426687e-6,6.22254e-6,9.504629734916977e-5,9.49872e-5,9.504629734694311e-5,9.49891e-5,1.7094448781330946e-6,2.09055e-6,5.1704843489689626e-5,5.62743e-5,7.039429929348517e-7,8.9668e-7,9.504577826643007e-5,9.4988e-5,9.490406608147362e-5,9.43511e-5,1.2266149159485515e-5,1.45339e-5,-0.0,4.04968e-7,1.8129028264185526e-5,2.12965e-5,9.504629735266435e-5,9.49876e-5
2.637795554171689e-5,7.714440959789146e-5,7.79078e-5,6.912357632470653e-6,7.94117e-6,9.51064452498017e-5,9.50518e-5,8.94588425749455e-5,8.8336e-5,9.51064452498942e-5,9.50504e-5,2.677883593661158e-6,3.11033e-6,3.222925449171007e-5,3.58626e-5,6.080320277836649e-5,6.37738e-5,9.510644524989862e-5,9.50506e-5,9.510644524990207e-5,9.50511e-5,9.510644524989858e-5,9.50519e-5,9.510644524991095e-5,9.50511e-5,2.2522012804833225e-5,2.54307e-5,9.510644524991922e-5,9.50505e-5,4.42321788366944e-6,5.10342e-6,9.510644524990138e-5,9.50481e-5,9.5106442291085e-5,9.50623e-5,1.4553016221636538e-6,1.71323e-6,4.50859871501181e-5,4.89645e-5,5.992761003496346e-7,7.34779e-7,9.509602506905222e-5,9.49834e-5,9.445057130866123e-5,9.35703e-5,1.0454962272937426e-5,1.19646e-5,-0.0,3.3184e-7,1.5474628701855738e-5,1.76197e-5,9.51064452498947e-5,9.50508e-5
3.4363656110887906e-5,7.139394528969353e-5,7.27462e-5,6.059904171714951e-6,6.817e-6,9.516355017766895e-5,9.51106e-5,8.577547243047558e-5,8.51023e-5,9.516355017774547e-5,9.51104e-5,2.3469941958892876e-6,2.66799e-6,2.8452366822473856e-5,3.13089e-5,5.487582090937049e-5,5.78104e-5,9.51635501777489e-5,9.51104e-5,9.516355017775136e-5,9.51105e-5,9.516355017775018e-5,9.51118e-5,9.516355017775834e-5,9.51107e-5,1.980713478151239e-5,2.20095e-5,9.516355017776426e-5,9.511e-5,3.876992903266548e-6,4.37866e-6,9.516355017736554e-5,9.51055e-5,9.51634319526809e-5,9.5137e-5,1.2754355639122465e-6,1.46944e-6,4.010601769308079e-5,4.33889e-5,5.25203138938289e-7,6.30198e-7,9.509669961501208e-5,9.48543e-5,9.3455370925462e-5,9.23631e-5,9.169451601792349e-6,1.02826e-5,-0.0,2.84606e-7,1.3583995428875574e-5,1.51784e-5,9.516355017774605e-5,9.51104e-5
4.320691998125084e-5,6.619259888585563e-5,6.78999e-5,5.407033455088881e-6,6.00089e-6,9.521949492067174e-5,9.5167e-5,8.180171739295045e-5,8.16087e-5,9.521949492073979e-5,9.51693e-5,2.0937493850602895e-6,2.34759e-6,2.5507606108393237e-5,2.78398e-5,4.9956854787510414e-5,5.27399e-5,9.521949492074349e-5,9.51691e-5,9.521949492074486e-5,9.51682e-5,9.521949492074356e-5,9.51688e-5,9.521949492075032e-5,9.51683e-5,1.7711149524731813e-5,1.94666e-5,9.521949492075549e-5,9.51686e-5,3.4588542571971973e-6,3.85332e-6,9.521949486118398e-5,9.51652e-5,9.521803271680967e-5,9.52017e-5,1.1377875861530915e-6,1.29291e-6,3.614324603871296e-5,3.89568e-5,4.685182339050968e-7,5.54479e-7,9.497994009802846e-5,9.45459e-5,9.190145362829328e-5,9.07521e-5,8.18388139257453e-6,9.05739e-6,-0.0,2.50409e-7,1.2131237333649994e-5,1.33879e-5,9.521949492074059e-5,9.51686e-5
5.30545910178117e-5,6.149254574923098e-5,6.3402e-5,4.881661446280473e-6,5.36746e-6,9.52754177347078e-5,9.52238e-5,7.774039323847791e-5,7.79906e-5,9.527541773476528e-5,9.52276e-5,1.8900580698106789e-6,2.09923e-6,2.310829373539522e-5,2.50673e-5,4.577108239446312e-5,4.83702e-5,9.527541773476968e-5,9.52272e-5,9.527541773476956e-5,9.52256e-5,9.527541773476838e-5,9.52237e-5,9.527541773477415e-5,9.52256e-5,1.6015058652757894e-5,1.74655e-5,9.527541773477861e-5,9.52274e-5,3.1224855563630395e-6,3.44594e-6,9.527541544046165e-5,9.52316e-5,9.526629236685069e-5,9.52347e-5,1.027080350916798e-6,1.15609e-6,3.2868339260309906e-5,3.53141e-5,4.2292875576655606e-7,4.95796e-7,9.46648221959663e-5,9.40159e-5,8.985110655662997e-5,8.87847e-5,7.3902040751350175e-6,8.10465e-6,-0.0,2.23906e-7,1.0959508455755589e-5,1.19901e-5,9.527541773476677e-5,9.52267e-5
6.406033170617383e-5,5.7232104154248706e-5,5.92448e-5,4.444392810948391e-6,4.85367e-6,9.533208487377011e-5,9.52828e-5,7.370909265359019e-5,7.43407e-5,9.53320848738166e-5,9.52856e-5,1.7205848544170009e-6,1.89793e-6,2.109299888654442e-5,2.27746e-5,4.2141032469870775e-5,4.45551e-5,9.53320848738211e-5,9.52853e-5,9.533208487381989e-5,9.5284e-5,9.533208487378224e-5,9.52783e-5,9.533208487382383e-5,9.52836e-5,1.4597596241375699e-5,1.58277e-5,9.533208487382771e-5,9.52869e-5,2.8425934148574516e-6,3.11568e-6,9.533204835474156e-5,9.53057e-5,9.529529444565428e-5,9.52074e-5,9.349748448246842e-7,1.04521e-6,3.0088716713306603e-5,3.22422e-5,3.8500008616553773e-7,4.48242e-7,9.408090650898395e-5,9.32373e-5,8.739626634538981e-5,8.6518e-5,6.729269768792505e-6,7.33094e-6,-0.0,2.0243e-7,9.98263170403895e-6,1.08521e-5,9.533208487381827e-5,9.52851e-5
7.638864126824696e-5,5.3354416364783916e-5,5.5406e-5,4.0715671465102105e-6,4.42391e-6,9.539005823182798e-5,9.53445e-5,6.977590600083789e-5,7.07217e-5,9.539005823186404e-5,9.5344e-5,1.576126828978781e-6,1.72966e-6,1.9362655766753262e-5,2.08304e-5,3.894709001353307e-5,4.11862e-5,9.539005823186874e-5,9.5344e-5,9.539005823186671e-5,9.5344e-5,9.539005822902046e-5,9.53353e-5,9.539005823186991e-5,9.53432e-5,1.3385238102575557e-5,1.44491e-5,9.539005823187343e-5,9.53467e-5,2.6039953485270726e-6,2.83955e-6,9.53897396634785e-5,9.53839e-5,9.527993007344069e-5,9.50882e-5,8.564672461194625e-7,9.5252e-7,2.7682981100047795e-5,2.95997e-5,3.5267135469912843e-7,4.0849e-7,9.318155600728282e-5,9.21978e-5,8.463242796805173e-5,8.40102e-5,6.165510262673448e-6,6.68322e-6,-0.0,1.84478e-7,9.148650238632953e-6,9.89765e-6,9.539005823186599e-5,9.53445e-5
9.021887377795633e-5,4.9810896552390555e-5,5.18589e-5,3.7479309695350937e-6,4.05628e-6,9.544978273721929e-5,9.54081e-5,6.59796365809747e-5,6.71758e-5,9.544978273724554e-5,9.54039e-5,1.4507546925966552e-6,1.58576e-6,1.785232753588582e-5,1.91503e-5,3.610511341826763e-5,3.81828e-5,9.54497827372505e-5,9.54042e-5,9.54497827372477e-5,9.54058e-5,9.544978264559102e-5,9.53977e-5,9.544978273725048e-5,9.54052e-5,1.2330236134342967e-5,1.32644e-5,9.544978273725351e-5,9.54067e-5,2.396907661905136e-6,2.60339e-6,9.544797372525776e-5,9.54579e-5,9.518334191518554e-5,9.48463e-5,7.883339123751106e-7,8.73267e-7,2.556990546769759e-5,2.72913e-5,3.2461490973306764e-7,3.74501e-7,9.194701402681121e-5,9.08973e-5,8.164703047972045e-5,8.13164e-5,5.6759736116050175e-6,6.12879e-6,-0.0,1.69128e-7,8.423968359175189e-6,9.07962e-6,9.544978273724773e-5,9.54052e-5
