x	N1	N2	N8	N14	N20	N26	N32	N38	N44	N50	N56	N62	N68	N74	N80	N86	N92	N98	N104	N110	N116	N122	N128	N134	N140	N146
0.01	0.000320731	0.000320731	0.000320731	0.000320731	0.000320731	0.000320731	0.000320731	0.000320731	0.000320732	0.000320731	0.000320736	0.000320677	0.000319515	0.000313926	0.0002991	0.00027216	0.000234656	0.000191641	0.000148807	0.000110309	7.81605e-05	5.2682e-05	3.32229e-05	1.8743e-05	8.16369e-06	3.71932e-06
0.02036	0.000321052	0.000321053	0.000321053	0.000321052	0.000321052	0.000321052	0.000321053	0.000321052	0.000321054	0.000321048	0.00032108	0.000320569	0.000315967	0.000300573	0.000269867	0.000226434	0.000178191	0.00013296	9.51672e-05	6.58644e-05	4.41684e-05	2.85322e-05	1.74306e-05	9.61031e-06	4.12296e-06	1.86212e-06
0.031381	0.000321306	0.000321305	0.000321304	0.000321305	0.000321305	0.000321305	0.000321305	0.000321305	0.000321304	0.000321305	0.000321333	0.000319525	0.000309433	0.00028371	0.000242102	0.000192516	0.000144539	0.000104066	7.27068e-05	4.95761e-05	3.29658e-05	2.12009e-05	1.29237e-05	7.11861e-06	3.05287e-06	1.37865e-06
0.0433274	0.000321533	0.000321528	0.000321527	0.00032153	0.000321529	0.00032153	0.000321528	0.000321532	0.000321521	0.000321557	0.000321401	0.000317215	0.000300517	0.000265969	0.000218158	0.000167556	0.000122636	8.6874e-05	6.01329e-05	4.08018e-05	2.70657e-05	1.73869e-05	1.05937e-05	5.83407e-06	2.50184e-06	1.1298e-06
0.0564444	0.000321742	0.00032174	0.000321739	0.000321741	0.00032174	0.000321741	0.000321738	0.000321746	0.000321723	0.000321821	0.000321106	0.000313504	0.000289975	0.000248648	0.000197858	0.000148469	0.000107034	7.5164e-05	5.17892e-05	3.50608e-05	2.32328e-05	1.49176e-05	9.08737e-06	5.0042e-06	2.14592e-06	9.69072e-07
0.07097	0.000321942	0.000321947	0.000321948	0.000321945	0.000321946	0.000321946	0.000321945	0.000321949	0.000321929	0.000322069	0.000320263	0.000308427	0.00027844	0.000232271	0.00018054	0.000133282	9.51489e-05	6.64645e-05	4.5673e-05	3.08807e-05	2.04509e-05	1.31281e-05	7.99644e-06	4.4033e-06	1.88824e-06	8.52705e-07
0.0871454	0.000322142	0.000322154	0.000322155	0.000322149	0.000322152	0.000322149	0.000322153	0.000322146	0.000322155	0.000322239	0.000318716	0.000302117	0.000266382	0.000216996	0.000165586	0.000120794	8.56532e-05	5.96212e-05	4.08997e-05	2.76309e-05	1.8292e-05	1.17404e-05	7.15079e-06	3.93758e-06	1.68852e-06	7.62518e-07
0.105223	0.000322349	0.000322361	0.000322362	0.000322355	0.00032236	0.000322354	0.000322365	0.00032234	0.000322409	0.00032224	0.000316361	0.000294749	0.000254132	0.000202831	0.000152515	0.000110264	7.78034e-05	5.40226e-05	3.70146e-05	2.49923e-05	1.65412e-05	1.06156e-05	6.46545e-06	3.56016e-06	1.52668e-06	6.89433e-07
0.125473	0.000322567	0.000322569	0.00032257	0.000322568	0.00032257	0.000322565	0.000322578	0.000322539	0.000322685	0.000321969	0.000313137	0.00028651	0.000241919	0.00018972	0.000140966	0.000101206	7.11492e-05	4.93116e-05	3.37572e-05	2.27838e-05	1.50768e-05	9.6751e-06	5.8925e-06	3.24465e-06	1.39138e-06	6.28338e-07
0.14819	0.000322792	0.000322783	0.000322782	0.000322787	0.000322786	0.000322784	0.000322793	0.000322754	0.000322961	0.000321321	0.000309029	0.000277586	0.000229904	0.000177586	0.000130667	9.32962e-05	6.5401e-05	4.52642e-05	3.0966e-05	2.08936e-05	1.38242e-05	8.87083e-06	5.40258e-06	2.97488e-06	1.2757e-06	5.76098e-07
