x	N1	N8	N15	N22	N29	N36	N43	N50	N57	N64	N71	N78	N85	N92	N99	N106	N113	N120	N127	N134	N141	N148	N155	N162	N169	N176
0.01	0.0013069	0.0013069	0.0013069	0.0013069	0.0013069	0.0013069	0.0013069	0.0013069	0.00130691	0.00130677	0.00130263	0.00128102	0.00122124	0.00111053	0.000955975	0.0007802	0.000607749	0.000455353	0.000330121	0.000232228	0.00015828	0.000103717	6.41017e-05	3.5657e-05	1.539e-05	6.97543e-06
0.02036	0.0013069	0.0013069	0.0013069	0.0013069	0.0013069	0.0013069	0.00130691	0.00130688	0.00130701	0.00130541	0.00128797	0.00122569	0.00109794	0.000916367	0.000716874	0.000533355	0.000383092	0.000268579	0.000184865	0.000125042	8.27911e-05	5.3122e-05	3.23417e-05	1.78019e-05	7.63146e-06	3.44561e-06
0.031381	0.0013069	0.0013069	0.0013069	0.0013069	0.0013069	0.0013069	0.00130691	0.00130688	0.00130711	0.0013008	0.00126085	0.00115416	0.0009792	0.000772254	0.000575866	0.000413873	0.000290767	0.000201247	0.000137566	9.2728e-05	6.12986e-05	3.93062e-05	2.39255e-05	1.31691e-05	5.64569e-06	2.54914e-06
0.0433274	0.0013069	0.0013069	0.0013069	0.0013069	0.0013069	0.00130691	0.00130688	0.00130697	0.00130674	0.00129114	0.00122319	0.00107811	0.000876912	0.000667274	0.000485421	0.000343792	0.000239669	0.000165263	0.000112782	7.59724e-05	5.02119e-05	3.21964e-05	1.95987e-05	1.07882e-05	4.62521e-06	2.08844e-06
0.0564444	0.0013069	0.0013069	0.0013069	0.00130691	0.00130689	0.00130692	0.00130683	0.00130719	0.0013051	0.00127557	0.00117813	0.00100371	0.000790759	0.000587891	0.000421722	0.000296487	0.000205969	0.000141808	9.67166e-05	6.51383e-05	4.30505e-05	2.76055e-05	1.6805e-05	9.25086e-06	3.96625e-06	1.79094e-06
0.07097	0.0013069	0.0013069	0.0013069	0.0013069	0.00130689	0.00130693	0.0013068	0.00130745	0.00130132	0.00125405	0.00112854	0.000933531	0.000717848	0.000525337	0.000373602	0.000261551	0.000181356	0.000124766	8.50709e-05	5.72917e-05	3.78655e-05	2.42818e-05	1.47824e-05	8.13775e-06	3.4891e-06	1.57551e-06
0.0871454	0.0013069	0.0013069	0.0013069	0.0013069	0.00130691	0.0013069	0.00130686	0.00130749	0.00129467	0.00122708	0.00107659	0.000868375	0.000655402	0.000474326	0.0003354	0.000234183	0.000162196	0.000111536	7.60404e-05	5.12097e-05	3.38469e-05	2.17058e-05	1.32147e-05	7.27494e-06	3.11924e-06	1.40851e-06
0.105223	0.0013069	0.0013069	0.00130691	0.00130689	0.00130693	0.00130684	0.00130703	0.00130694	0.00128458	0.0011954	0.00102384	0.000808294	0.000601238	0.000431602	0.000303975	0.000211863	0.00014663	0.000100806	6.87206e-05	4.62808e-05	3.05903e-05	1.96182e-05	1.19441e-05	6.57564e-06	2.81945e-06	1.27316e-06
0.125473	0.0013069	0.0013069	0.00130691	0.00130688	0.00130694	0.00130678	0.00130731	0.00130534	0.00127076	0.00115985	0.000971366	0.000753026	0.000553715	0.000395067	0.000277442	0.000193128	0.000133597	9.18311e-05	6.26011e-05	4.21605e-05	2.7868e-05	1.78729e-05	1.08819e-05	5.99097e-06	2.5688e-06	1.15998e-06
0.14819	0.0013069	0.0013069	0.00130691	0.00130689	0.00130695	0.00130674	0.00130762	0.00130222	0.00125308	0.00112129	0.00091992	0.000702198	0.000511606	0.000363315	0.000254595	0.000177064	0.000122442	8.41553e-05	5.73682e-05	3.86375e-05	2.55402e-05	1.63805e-05	9.97348e-06	5.49097e-06	2.35445e-06	1.0632e-06
0.173699	0.0013069	0.0013069	0.0013069	0.0013069	0.00130693	0.00130677	0.00130781	0.00129713	0.00123161	0.00108049	0.000869992	0.000655418	0.000473981	0.000335366	0.000234624	0.000163064	0.000112734	7.7478e-05	5.28169e-05	3.55733e-05	2.35154e-05	1.50824e-05	9.18331e-06	5.05603e-06	2.16797e-06	9.78996e-07
0.202358	0.0013069	0.0013069	0.00130689	0.00130692	0.00130687	0.0013069	0.00130766	0.00128965	0.00120655	0.00103818	0.000821896	0.000612304	0.000440124	0.000310508	0.000216958	0.000150709	0.000104174	7.15927e-05	4.88057e-05	3.28727e-05	2.1731e-05	1.39382e-05	8.48683e-06	4.67264e-06	2.0036e-06	9.04776e-07
0.234571	0.0013069	0.00130691	0.00130688	0.00130694	0.00130681	0.00130712	0.00130688	0.00127948	0.00117821	0.000994997	0.000775825	0.00057251	0.000409475	0.000288214	0.00020118	0.000139695	9.65489e-05	6.63511e-05	4.52334e-05	3.04676e-05	2.01416e-05	1.29191e-05	7.86647e-06	4.33114e-06	1.85719e-06	8.38663e-07
0.270786	0.0013069	0.00130691	0.00130688	0.00130696	0.00130674	0.00130743	0.00130516	0.00126637	0.00114695	0.000951472	0.00073188	0.00053572	0.000381589	0.000268081	0.000186978	0.000129795	8.96987e-05	6.16432e-05	4.2025e-05	2.83074e-05	1.87141e-05	1.20037e-05	7.30922e-06	4.02438e-06	1.72566e-06	7.79273e-07
