x	N1	N8	N15	N22	N29	N36	N43	N50	N57	N64	N71	N78	N85	N92	N99	N106	N113	N120	N127	N134	N141	N148	N155	N162	N169	N176
0.408792	0.000397753	0.000397751	0.000397755	0.00039775	0.000397735	0.000398016	0.000393683	0.00037179	0.000325153	0.000262482	0.00019912	0.000145172	0.000103475	7.28494e-05	5.09205e-05	3.54111e-05	2.45056e-05	1.68579e-05	1.15012e-05	7.75103e-06	5.1261e-06	3.28888e-06	2.003e-06	1.10297e-06	4.72992e-07	2.13603e-07
0.466704	0.000397755	0.000397749	0.000397762	0.000397732	0.000397787	0.000397885	0.000391377	0.000364957	0.000314232	0.000250293	0.000188161	0.000136464	9.70018e-05	6.81992e-05	4.76394e-05	3.31196e-05	2.29168e-05	1.57641e-05	1.07547e-05	7.24794e-06	4.79339e-06	3.07543e-06	1.87301e-06	1.03139e-06	4.42298e-07	1.99742e-07
0.5	0.000397755	0.000397747	0.000397765	0.000397722	0.000397823	0.000397766	0.000389937	0.000361027	0.000308236	0.000243793	0.000182419	0.000131946	9.366e-05	6.58048e-05	4.59519e-05	3.19417e-05	2.21004e-05	1.52021e-05	1.03712e-05	6.98945e-06	4.62245e-06	2.96575e-06	1.80621e-06	9.94612e-07	4.26526e-07	1.9262e-07
0.572105	0.000397756	0.000397746	0.00039777	0.000397704	0.000397908	0.000397292	0.000386426	0.000352688	0.000296477	0.000231639	0.000171973	0.000123849	8.77158e-05	6.15612e-05	4.29666e-05	2.98596e-05	2.06577e-05	1.42091e-05	9.69368e-06	6.53284e-06	4.32048e-06	2.77202e-06	1.68823e-06	9.29646e-07	3.98667e-07	1.80039e-07
0.649789	0.000397756	0.000397747	0.00039777	0.000397696	0.00039799	0.000396533	0.000382321	0.000344016	0.000285054	0.000220309	0.000162462	0.000116569	8.2406e-05	5.77825e-05	4.03122e-05	2.80096e-05	1.93762e-05	1.33273e-05	9.09198e-06	6.12733e-06	4.05231e-06	2.59997e-06	1.58345e-06	8.7195e-07	3.73926e-07	1.68865e-07
0.731936	0.000397754	0.000397749	0.000397764	0.000397701	0.000398046	0.000395471	0.000377749	0.000335262	0.000274183	0.000209901	0.000153901	0.000110085	7.77012e-05	5.44429e-05	3.79692e-05	2.63775e-05	1.8246e-05	1.25496e-05	8.56137e-06	5.76974e-06	3.81582e-06	2.44825e-06	1.49105e-06	8.21071e-07	3.52108e-07	1.59012e-07
0.817654	0.000397752	0.000397754	0.000397754	0.000397722	0.000398056	0.000394109	0.000372833	0.000326609	0.000263971	0.000200418	0.00014623	0.000104327	7.35424e-05	5.14971e-05	3.59045e-05	2.494e-05	1.72508e-05	1.18648e-05	8.09417e-06	5.45488e-06	3.6076e-06	2.31466e-06	1.4097e-06	7.76272e-07	3.32896e-07	1.50337e-07
0.906228	0.000397749	0.000397759	0.00039774	0.000397758	0.000398	0.000392467	0.000367685	0.000318182	0.000254454	0.000191808	0.000139367	9.92137e-05	6.98623e-05	4.88951e-05	3.40823e-05	2.36718e-05	1.63729e-05	1.12608e-05	7.6821e-06	5.17718e-06	3.42395e-06	2.19683e-06	1.33794e-06	7.3676e-07	3.15952e-07	1.42685e-07
0.997088	0.000397747	0.000397764	0.000397725	0.000397806	0.000397865	0.000390572	0.000362401	0.000310061	0.000245625	0.000183999	0.000133218	9.46615e-05	6.65964e-05	4.65894e-05	3.24687e-05	2.25492e-05	1.55958e-05	1.07263e-05	7.31741e-06	4.93141e-06	3.26142e-06	2.09255e-06	1.27443e-06	7.01789e-07	3.00956e-07	1.35912e-07
1.08978	0.000397745	0.000397769	0.00039771	0.000397862	0.00039764	0.000388457	0.000357059	0.000302288	0.000237453	0.000176911	0.000127695	9.05948e-05	6.36866e-05	4.45376e-05	3.10337e-05	2.1551e-05	1.4905e-05	1.02511e-05	6.99321e-06	4.71293e-06	3.11693e-06	1.99985e-06	1.21798e-06	6.70703e-07	2.87625e-07	1.29892e-07
1.18393	0.000397743	0.000397772	0.000397698	0.000397922	0.000397321	0.000386157	0.000351718	0.000294886	0.000229895	0.000170465	0.000122719	8.6947e-05	6.10823e-05	4.27033e-05	2.97514e-05	2.06593e-05	1.4288e-05	9.8266e-06	6.70363e-06	4.51778e-06	2.98787e-06	1.91705e-06	1.16755e-06	6.42935e-07	2.75717e-07	1.24515e-07
