x	N176
0.01	-0.00118482
0.02036	-0.00178814
0.031381	-0.00226301
0.0433274	-0.00268474
0.0564444	-0.00308185
0.07097	-0.00346871
0.0871454	-0.00385386
0.105223	-0.00424293
0.125473	-0.00464003
0.14819	-0.00504834
0.173699	-0.00547052
0.202358	-0.00590889
0.234571	-0.00636561
0.270786	-0.00684272
0.311506	-0.0073422
0.357297	-0.00786604
0.408792	-0.00841625
0.466704	-0.00899489
0.5	-0.0093157
0.572105	-0.00996508
0.649789	-0.0106213
0.731936	-0.0112747
0.817654	-0.0119194
0.906228	-0.0125516
0.997088	-0.0131693
1.08978	-0.0137716
1.18393	-0.014358
1.27925	-0.0149287
1.3755	-0.015484
1.47251	-0.0160245
1.5	-0.0161762
1.59808	-0.0167001
1.69753	-0.0172152
1.79906	-0.0177258
1.90328	-0.018235
2.01069	-0.0187453
2.12172	-0.0192587
2.23676	-0.0197765
2.35616	-0.0202999
2.48025	-0.0208299
2.60932	-0.0213672
2.74366	-0.0219124
2.88358	-0.0224662
3.02935	-0.0230289
3.18126	-0.0236009
3.33959	-0.0241828
3.50466	-0.0247748
3.67676	-0.0253773
3.85621	-0.0259906
4.04333	-0.0266151
4.23846	-0.0272511
4.44195	-0.0278988
4.65416	-0.0285586
4.87547	-0.0292308
5.10627	-0.0299158
5.34697	-0.0306138
5.59801	-0.0313251
5.85981	-0.0320502
6.13286	-0.0327893
6.41762	-0.0335427
6.71461	-0.0343109
7.02434	-0.0350941
7.34738	-0.0358927
7.68427	-0.0367071
8.03564	-0.0375377
8.40208	-0.0383847
8.78426	-0.0392486
9.18285	-0.0401299
9.59854	-0.0410287
10.0321	-0.0419457
10.4842	-0.0428811
10.9558	-0.0438354
11.4476	-0.044809
11.9605	-0.0458024
12.4955	-0.0468159
13.0534	-0.0478501
13.6353	-0.0489054
14.2421	-0.0499822
14.875	-0.0510811
15.5351	-0.0522025
16.2235	-0.0533469
16.9414	-0.0545149
17.6902	-0.055707
18.4711	-0.0569236
19.2856	-0.0581655
20.135	-0.059433
21.0209	-0.0607268
21.9448	-0.0620486
22.9084	-0.0633966
23.9133	-0.0647726
24.9614	-0.0661772
26.0545	-0.067611
27.1945	-0.0690746
28.3835	-0.0705686
29.6235	-0.0720936
30.9167	-0.0736504
32.2655	-0.0752397
33.6721	-0.076862
35.1392	-0.0785183
36.6692	-0.0802091
38.2649	-0.0819355
39.9291	-0.083698
41.6648	-0.0854977
43.475	-0.0873354
45.3629	-0.089213
47.3318	-0.0911295
49.3853	-0.0930867
51.5269	-0.0950856
53.7605	-0.097127
56.09	-0.099212
58.5194	-0.101341
61.0532	-0.103515
63.6958	-0.105735
66.4518	-0.108001
69.3261	-0.110313
72.3238	-0.112674
75.4502	-0.115079
78.7108	-0.117532
82.1114	-0.12003
85.658	-0.122574
89.3569	-0.125162
93.2146	-0.127793
97.2378	-0.130465
101.434	-0.133176
105.81	-0.135924
110.374	-0.138705
115.134	-0.141517
120.098	-0.144355
125.276	-0.147215
130.675	-0.150094
136.307	-0.152986
142.18	-0.155887
148.305	-0.158789
154.694	-0.161687
161.357	-0.164575
168.305	-0.167447
175.552	-0.170295
183.11	-0.173113
190.993	-0.175895
199.214	-0.178631
207.788	-0.181316
216.73	-0.183942
226.056	-0.186502
235.782	-0.188991
245.926	-0.191401
256.505	-0.193727
267.539	-0.195962
279.046	-0.198103
291.047	-0.200145
303.564	-0.202084
316.618	-0.203917
330.232	-0.205643
344.43	-0.20726
359.239	-0.208767
374.683	-0.210166
390.79	-0.211456
407.588	-0.21264
425.108	-0.21372
443.38	-0.214701
462.436	-0.215585
482.31	-0.216378
503.038	-0.217084
524.655	-0.217709
547.201	-0.218259
570.714	-0.218738
595.237	-0.219154
620.813	-0.219511
647.486	-0.219817
675.305	-0.220075
704.318	-0.220292
734.577	-0.220473
766.135	-0.220622
799.047	-0.220744
833.373	-0.220843
869.172	-0.220922
906.508	-0.220986
945.447	-0.221035
986.057	-0.221074
1028.41	-0.221104
1072.58	-0.221127
1118.65	-0.221144
1166.7	-0.221156
1216.81	-0.221166
1269.07	-0.221173
1323.57	-0.221178
1380.42	-0.221181
1439.7	-0.221183
1501.53	-0.221185
1566.01	-0.221186
1633.27	-0.221187
1703.41	-0.221187
1776.56	-0.221188
1852.85	-0.221188
1932.41	-0.221188
2015.39	-0.221188
2101.94	-0.221188
2192.2	-0.221188
2286.33	-0.221188
2384.51	-0.221188
2400	-0.221188
