Nondimentional time,Theory depth 1.6mm,FEM depth 1.6mm,Theory depth 0.00738252000000017mm,FEM depth 0.00738252000000017mm,Theory depth 1.1199356200000001mm,FEM depth 1.1199356200000001mm,Theory depth 0.031426869999999996mm,FEM depth 0.031426869999999996mm,Theory depth 0.015289720000000173mm,FEM depth 0.015289720000000173mm,Theory depth 0.26873347000000014mm,FEM depth 0.26873347000000014mm,Theory depth 0.005103379999999991mm,FEM depth 0.005103379999999991mm,Theory depth 0.0002233600000001168mm,FEM depth 0.0002233600000001168mm,Theory depth 0.0006791900000000517mm,FEM depth 0.0006791900000000517mm,Theory depth 0.0010622500000001533mm,FEM depth 0.0010622500000001533mm,Theory depth 9.197000000016331e-5mm,FEM depth 9.197000000016331e-5mm,Theory depth 0.04498750000000018mm,FEM depth 0.04498750000000018mm,Theory depth 0.002391210000000088mm,FEM depth 0.002391210000000088mm,Theory depth 0.00041106000000001863mm,FEM depth 0.00041106000000001863mm,Theory depth 0.13156995000000005mm,FEM depth 0.13156995000000005mm,Theory depth 0.0016094700000000017mm,FEM depth 0.0016094700000000017mm,Theory depth 0.010638420000000037mm,FEM depth 0.010638420000000037mm,Theory depth 0.09203459000000014mm,FEM depth 0.09203459000000014mm,Theory depth 0.3839969300000001mm,FEM depth 0.3839969300000001mm,Theory depth 0.0mm,FEM depth 0.0mm,Theory depth 0.5486590100000002mm,FEM depth 0.5486590100000002mm,Theory depth 0.18804905000000005mm,FEM depth 0.18804905000000005mm,Theory depth 0.7838905540000001mm,FEM depth 0.7838905540000001mm,Theory depth 0.02193443000000017mm,FEM depth 0.02193443000000017mm,Theory depth 0.0035079900000001274mm,FEM depth 0.0035079900000001274mm,Theory depth 0.06435983000000012mm,FEM depth 0.06435983000000012mm
2.14033152119325e-5,1.0000000000000009,0.9999988158965759,0.5193312175968158,0.596984525336681,1.0,0.9999988158965759,0.9973187878111223,0.9801962530720265,0.8558680414090566,0.8497426620381241,0.9999999999999998,0.9999988158965759,0.37410214695101923,0.46503043871935734,0.01702303555969,0.027283616021443267,0.05173104258234442,0.07936098950826012,0.08082514657933629,0.12111088268429876,0.007009792409712143,0.011775944430827379,0.9999827268362824,0.996731546064241,0.18068356364902174,0.25259821646843184,0.03132262704039169,0.04904860670055669,0.9999999999999991,0.9999988158965759,0.12219097948731779,0.17769356876427428,0.6904908392448085,0.7314820323106045,1.0000000000000002,1.000006467582366,1.0000000000000016,0.9999988158965759,0.0,0.005337379861021847,0.9999999999999997,0.9999988158965759,1.0000000000000013,0.9999988158965759,0.9999999999999984,0.9999988158965759,0.9638576544658191,0.9344544754193391,0.2624552447472687,0.3484218079539012,0.999999999215726,0.9998993439813058
4.357714977149457e-5,0.9999999999999997,0.9999988158965759,0.378865195145884,0.4081064874531473,0.9999999999999992,0.9999988158965759,0.9646177505010555,0.9378594755958941,0.6939811717923073,0.7011752352335279,0.9999999999999994,0.9999988158965759,0.2673928548669279,0.29312996126670066,0.011930671459868671,0.013621454526520204,0.03626747501548235,0.04064728525369799,0.056693917704015884,0.06334914834094038,0.004912687201791885,0.005839353403903959,0.99740304305259,0.9855141746960845,0.12718666311141882,0.14145288935704378,0.02195462756298099,0.024746852631480826,0.9999999999999992,0.9999835125249958,0.08580623324526605,0.09567820945545921,0.52367000008012,0.5485294599028556,0.9999999992794251,1.000082984440266,1.0000000000000007,0.9999988158965759,0.0,0.0026364725074920813,1.0000000000000002,0.9999988158965759,1.000000000000001,1.000006467582366,1.0000000000000002,0.9999988158965759,0.8580205400819536,0.8401091896284999,0.18567626492038547,0.20550821177954431,0.999983581429232,0.9988587147138641
6.716574346656537e-5,1.0000000000000002,0.9999988158965759,0.30944593162741113,0.31668261529693437,0.9999999999999998,0.9999988158965759,0.9098672143213719,0.8831269671399433,0.5903444611463029,0.5909044958079381,1.0000000000000007,0.9999988158965759,0.21683769735916147,0.22248577221042137,0.009610059309355995,0.010076581533723773,0.029216310019607797,0.030075869199934192,0.045679406931536555,0.04690376265675863,0.0039570867742653865,0.004319904594780886,0.984731889614817,0.9647628028335739,0.10259984546051007,0.10526118073886935,0.01768482724063764,0.01830704083689152,0.9999999999987061,0.9999835125249958,0.06916224721545919,0.07095255199361672,0.4338143200710184,0.4406345689150643,0.9999993057889085,1.000159501298166,0.9999999999999989,0.9999988158965759,0.0,0.0019505218314749388,0.9999999999999987,0.9999988158965759,1.0000000000000002,1.000006467582366,1.0,0.9999988158965759,0.763118212141349,0.7492530725579057,0.15003946078577707,0.15398788101824026,0.99948072519036,0.995331287564669
9.273499995134842e-5,1.000000000000001,0.9999988158965759,0.26524219177683256,0.26305883611195624,1.0000000000000002,0.9999988158965759,0.8507716640713548,0.8249358967069075,0.517124895616917,0.5105770983843996,1.0000000000000007,1.000006467582366,0.18517622882420876,0.18338718816062166,0.008178638986545292,0.008254791663979983,0.024865901373101233,0.02463567363695196,0.03888105068374042,0.0384205681719468,0.0033676592357347866,0.003539065363281813,0.9610387397310644,0.9359465541483915,0.08738361057480415,0.08629724267690538,0.015050908046108579,0.014996309429269432,0.9999999984405513,1.000052377697106,0.05888048441391545,0.05813169335130539,0.37460975995809276,0.3714288967873072,0.999975968854159,0.9998763889239357,1.0,0.9999988158965759,0.0,0.0015980086671291186,1.0000000000000007,0.9999988158965759,0.9999999999999987,0.9999835125249958,0.9999999999999998,0.9999988158965759,0.6858870147648082,0.6709855089490383,0.12789949046275148,0.1264540548714636,0.996859533976284,0.9879397590915182
0.00012080972851484027,1.000000000000001,0.9999988158965759,0.23340939043149772,0.2268625364823078,0.9999999999999997,0.9999988158965759,0.7936321935893735,0.7680073544292236,0.46129424667823027,0.44983572107755293,0.9999999999999997,1.000014119268156,0.1625821431930887,0.1576010070482836,0.0071656186191228766,0.007078467400738387,0.021786698889032376,0.021122861207615674,0.03406817267797819,0.03294088991028812,0.002950525167699698,0.0030348498764632297,0.9295278716668839,0.9014680579786005,0.07659548115745186,0.07400450338782062,0.013186804636026546,0.012858657970113978,0.9999998778066106,1.0002207147844862,0.05159813076122155,0.04984178044954927,0.3311677026355397,0.3226884234735143,0.9997848591577919,0.9986215124543739,0.9999999999999997,0.9999911642107858,0.0,0.0013703710148762825,0.9999999999999984,1.000006467582366,0.9999999999999598,0.9999452540960457,0.9999999999999997,0.9999988158965759,0.6221922589054815,0.605063940362354,0.11216938306156299,0.10850702585099213,0.9903406023007026,0.9760260843164704
0.00015189932805908496,1.0000000000000002,0.9999988158965759,0.20877716525697332,0.20013060700632437,1.0000000000000009,0.9999988158965759,0.7402183562942611,0.7143085887235032,0.4164866663505889,0.4019713657867162,0.9999999999999998,1.0000217709539458,0.14519996813238129,0.13876791281332881,0.006390398075354034,0.00622675060376644,0.019430121058283487,0.018579670401589622,0.030384275642832987,0.02897349082816726,0.0026313132576790232,0.0026697496889928406,0.8932914655149404,0.8635233481459345,0.06833024424379454,0.06509357966734718,0.011760252510061114,0.011311028002226293,0.9999976164573159,1.0004196586150265,0.046022372960865615,0.043837808677558994,0.2971479718176895,0.28586851145197995,0.9990337859692678,0.9957291752257496,1.0,0.9999911642107858,0.0,0.0012055307479020693,0.9999999999999992,0.9999988158965759,0.9999999999844928,0.9999222990386759,0.9999999999999991,0.9999988158965759,0.568440991539845,0.5492747340988027,0.10010168697177782,0.09546702292765491,0.9789908643458165,0.9595596564963662
0.00018652004654699423,1.0000000000000002,0.9999988158965759,0.18881292641146266,0.17918947333622148,1.0000000000000007,0.9999988158965759,0.6908270066354567,0.6644532647901057,0.3792362586143597,0.36293935140328965,0.9999999999999994,0.9999988158965759,0.13116857132179158,0.12410728283966718,0.0057669202149328,0.005566555502118475,0.017534712259330596,0.016608596142082713,0.027421016197991307,0.025898584376593328,0.0023745858131091727,0.0023867444383634823,0.8545450455749413,0.8237728404668259,0.06167750973018219,0.058183724814677464,0.010612916185695133,0.010111473220926223,0.9999793313439078,1.0004502653581864,0.04153640518884099,0.03918405338007413,0.2693449626814131,0.25663754139697875,0.9971004993801915,0.990640804175392,0.9999999999999997,1.000006467582366,0.0,0.0010777475952088807,1.0,0.9999988158965759,0.9999999988363922,0.9999682091534159,1.0,0.9999988158965759,0.5221643501648089,0.5014930170144981,0.09037925240424903,0.08534384262746995,0.9627172378887373,0.9389230599207058
0.0002252121036545173,1.0000000000000007,0.9999988158965759,0.17210892685653306,0.16211091065291625,0.9999999999999998,0.9999988158965759,0.6452873153129087,0.6184811713951388,0.3474809999089148,0.3302482890340454,0.9999999999999972,0.9999529057818358,0.11946335293608161,0.11219666873893559,0.0052482134101149444,0.005031473114822986,0.015957745852675412,0.015011230216559956,0.02495543419704856,0.023406736382218244,0.002161000527505141,0.002157354550064734,0.8147733298186619,0.7834101979245163,0.056139446532071466,0.052582843850105,0.009658369777239103,0.009139250024447388,0.9998931960731895,1.0000294226397357,0.03780328334956015,0.03541261397103546,0.245939519010049,0.23259211880186825,0.9932781257848586,0.9829202532132706,1.0000000000000007,1.0000217709539458,0.0,0.0009741820280410778,0.9999999999999998,0.9999911642107858,0.9999999693772856,1.000098287811846,0.9999999999999994,1.000006467582366,0.4816849940418773,0.460048426101481,0.0822802555752224,0.07713358377478784,0.9419508459091942,0.9146825193379502
0.00026855381695868065,0.9999999999999994,0.9999988158965759,0.15780928465778002,0.1477754773253301,0.9999999999999992,0.9999988158965759,0.6032952302208872,0.5761918343709044,0.31990518785161565,0.3022928550002391,0.9999999999995752,0.9999069956670957,0.10946569074630058,0.10222422664881388,0.00480609322825643,0.0045841020017383955,0.01461357309396387,0.013675781495629284,0.022853712490995114,0.021323717959603472,0.0019789515311627467,0.0019655650457381007,0.7749560459245733,0.743258741910011,0.0514169389089355,0.0479003947309076,0.008844753613383006,0.00832648795983239,0.9996121020337766,0.9988051529133342,0.034620708882490636,0.03225988987497711,0.2258090551268684,0.2122899008952313,0.9869349915991281,0.972345623451475,0.9999999999999994,1.0000294226397357,0.0,0.00088758024826973,0.9999999999999997,0.9999835125249958,0.9999996049216455,1.0003125350139663,0.9999999999999998,1.000006467582366,0.4458336659391316,0.4236853197216103,0.07537031635825074,0.07026627229511061,0.9173757387514309,0.8874807763544599
0.00031717572812562766,1.0000000000000009,0.9999988158965759,0.1453569891769438,0.13548380927225595,0.9999999999999998,0.9999988158965759,0.5645262185087416,0.5372998458374351,0.29562034006991994,0.27799722227979534,0.9999999999741795,0.9998763889239357,0.10077513727655221,0.09368877115005628,0.004422402689659689,0.004201517712237831,0.013447013179595764,0.012533843908327999,0.021029626348514196,0.01954255854140464,0.0018209621455481093,0.001801551160829209,0.7357348347875228,0.7038938791947189,0.04731709004712429,0.04389634407385259,0.008138657920150262,0.007631393519296184,0.9989050271320749,0.9964178269468505,0.03185829630483208,0.02956420097115613,0.20821457842372068,0.19480809437079252,0.9776192043385193,0.9588174429747351,1.0000000000000007,1.000037074325526,0.0,0.0008135272331940008,1.0000000000000007,0.9999911642107858,0.9999969354499906,1.0005497372734566,0.9999999999999998,1.000006467582366,0.4137675964630417,0.3914648360284517,0.06936896709305868,0.06439299131641375,0.8897547994425786,0.8579758759481764
