x	N146
0.01	0.205957
0.02036	0.205864
0.031381	0.205791
0.0433274	0.205727
0.0564444	0.205666
0.07097	0.205606
0.0871454	0.205547
0.105223	0.205487
0.125473	0.205427
0.14819	0.205364
0.173699	0.205299
0.202358	0.205232
0.234571	0.205162
0.270786	0.205088
0.311506	0.205012
0.357297	0.204931
0.408792	0.204846
0.466704	0.204757
0.5	0.204708
0.572105	0.204608
0.649789	0.204507
0.731936	0.204406
0.817654	0.204307
0.906228	0.204209
0.997088	0.204114
1	0.204111
1.09415	0.204017
1.19041	0.203924
1.28932	0.203833
1.39135	0.203743
1.49688	0.203652
1.60628	0.203562
1.71985	0.203472
1.83792	0.20338
1.96074	0.203289
2.08861	0.203196
2.2218	0.203103
2.36056	0.203008
2.50518	0.202913
2.65592	0.202816
2.81308	0.202718
2.97693	0.202618
3.14779	0.202518
3.32595	0.202415
3.51173	0.202311
3.70548	0.202206
3.90753	0.202099
4.11825	0.20199
4.33801	0.201879
4.56719	0.201767
4.80621	0.201652
5.05549	0.201536
5.31547	0.201417
5.58661	0.201297
5.86938	0.201174
6.1643	0.201049
6.47187	0.200922
6.79265	0.200793
7.1272	0.200661
7.47611	0.200526
7.84	0.200389
8.21951	0.200249
8.61531	0.200107
9.02811	0.199962
9.45863	0.199814
9.90763	0.199663
10.3759	0.19951
10.8643	0.199353
11.3736	0.199193
11.9048	0.19903
12.4589	0.198864
13.0367	0.198694
13.6393	0.198521
14.2678	0.198344
14.9232	0.198164
15.6068	0.19798
16.3198	0.197792
17.0633	0.197601
17.8388	0.197405
18.6476	0.197205
19.4911	0.197002
20.3708	0.196794
21.2882	0.196581
22.2451	0.196365
23.243	0.196143
24.2838	0.195917
25.3693	0.195686
26.5014	0.195451
27.682	0.19521
28.9134	0.194964
30.1976	0.194714
31.5369	0.194457
32.9338	0.194196
34.3906	0.193928
35.9099	0.193655
37.4945	0.193376
39.1471	0.193092
40.8707	0.192801
42.6683	0.192504
44.543	0.1922
46.4982	0.19189
48.5373	0.191573
50.664	0.19125
52.882	0.190919
55.1953	0.190582
57.6078	0.190237
60.1239	0.189885
62.748	0.189525
65.4848	0.189158
68.339	0.188783
71.3158	0.1884
74.4204	0.188008
77.6583	0.187608
81.0352	0.1872
84.5571	0.186783
88.2301	0.186357
92.0609	0.185922
96.0561	0.185478
100.223	0.185025
104.568	0.184562
109.101	0.18409
113.827	0.183608
118.757	0.183116
123.898	0.182614
129.26	0.182101
134.853	0.181579
140.685	0.181046
146.767	0.180502
153.111	0.179948
159.727	0.179382
166.628	0.178806
173.824	0.178219
181.33	0.177621
189.157	0.177012
197.321	0.176392
205.835	0.175761
214.715	0.175119
223.975	0.174467
233.634	0.173803
243.707	0.173129
254.213	0.172445
265.169	0.171752
276.596	0.171048
288.513	0.170336
300.943	0.169615
313.905	0.168887
327.425	0.168151
341.524	0.167409
356.229	0.166662
371.565	0.16591
387.56	0.165155
404.241	0.164397
421.639	0.163638
439.783	0.162879
458.707	0.162122
478.442	0.161367
499.025	0.160617
520.492	0.159873
542.88	0.159136
566.229	0.158408
590.581	0.15769
615.978	0.156985
642.466	0.156294
670.091	0.155617
698.901	0.154958
728.949	0.154317
760.286	0.153695
792.969	0.153095
827.055	0.152516
862.605	0.151961
899.68	0.15143
938.347	0.150925
978.674	0.150444
1020.73	0.149991
1064.6	0.149563
1110.34	0.149163
1158.06	0.148789
1207.82	0.148441
1259.71	0.14812
1313.83	0.147825
1370.28	0.147554
1429.15	0.147308
1490.55	0.147086
1554.58	0.146885
1621.37	0.146706
1691.02	0.146546
1763.66	0.146405
1839.42	0.146282
1918.43	0.146174
2000.83	0.146081
2086.77	0.146001
2176.4	0.145932
2269.88	0.145874
2367.37	0.145826
2400	0.145811
