x	N152
0.01	-0.199221
0.02036	-0.199267
0.031381	-0.199304
0.0433274	-0.199337
0.0564444	-0.199368
0.07097	-0.199398
0.0871454	-0.199428
0.105223	-0.199459
0.125473	-0.19949
0.14819	-0.199522
0.173699	-0.199555
0.202358	-0.199589
0.234571	-0.199625
0.270786	-0.199663
0.311506	-0.199702
0.357297	-0.199743
0.408792	-0.199787
0.466704	-0.199832
0.5	-0.199858
0.572105	-0.199909
0.649789	-0.19996
0.731936	-0.200012
0.817654	-0.200063
0.906228	-0.200113
0.997088	-0.200162
1	-0.200164
1.09415	-0.200212
1.19041	-0.200259
1.28932	-0.200306
1.39135	-0.200353
1.49688	-0.200399
1.60628	-0.200446
1.71985	-0.200492
1.83792	-0.200539
1.96074	-0.200586
2.08861	-0.200633
2.2218	-0.200681
2.36056	-0.20073
2.50518	-0.200779
2.65592	-0.200828
2.81308	-0.200879
2.97693	-0.20093
3.14779	-0.200982
3.32595	-0.201034
3.51173	-0.201087
3.70548	-0.201142
3.90753	-0.201197
4.11825	-0.201253
4.33801	-0.20131
4.56719	-0.201368
4.80621	-0.201427
5.05549	-0.201487
5.31547	-0.201548
5.58661	-0.20161
5.86938	-0.201673
6.1643	-0.201737
6.47187	-0.201803
6.79265	-0.20187
7.1272	-0.201938
7.47611	-0.202007
7.84	-0.202077
8.21951	-0.202149
8.61531	-0.202223
9.02811	-0.202297
9.45863	-0.202373
9.90763	-0.202451
10.3759	-0.20253
10.8643	-0.202611
11.3736	-0.202693
11.9048	-0.202778
12.4589	-0.202863
13.0367	-0.202951
13.6393	-0.20304
14.2678	-0.203131
14.9232	-0.203224
15.6068	-0.203319
16.3198	-0.203416
17.0633	-0.203515
17.8388	-0.203617
18.6476	-0.20372
19.4911	-0.203825
20.3708	-0.203933
21.2882	-0.204043
22.2451	-0.204155
23.243	-0.20427
24.2838	-0.204387
25.3693	-0.204507
26.5014	-0.204629
27.682	-0.204754
28.9134	-0.204882
30.1976	-0.205012
31.5369	-0.205145
32.9338	-0.205281
34.3906	-0.20542
35.9099	-0.205562
37.4945	-0.205706
39.1471	-0.205854
40.8707	-0.206006
42.6683	-0.20616
44.543	-0.206318
46.4982	-0.206479
48.5373	-0.206644
50.664	-0.206812
52.882	-0.206984
55.1953	-0.20716
57.6078	-0.207339
60.1239	-0.207522
62.748	-0.20771
65.4848	-0.207901
68.339	-0.208096
71.3158	-0.208296
74.4204	-0.2085
77.6583	-0.208709
81.0352	-0.208922
84.5571	-0.209139
88.2301	-0.209362
92.0609	-0.209589
96.0561	-0.209821
100.223	-0.210058
104.568	-0.2103
109.101	-0.210547
113.827	-0.2108
118.757	-0.211057
123.898	-0.211321
129.26	-0.211589
134.853	-0.211863
140.685	-0.212143
146.767	-0.212429
153.111	-0.21272
159.727	-0.213017
166.628	-0.21332
173.824	-0.213629
181.33	-0.213943
189.157	-0.214264
197.321	-0.21459
205.835	-0.214922
214.715	-0.21526
223.975	-0.215604
233.634	-0.215953
243.707	-0.216308
254.213	-0.216668
265.169	-0.217034
276.596	-0.217404
288.513	-0.217779
300.943	-0.218159
313.905	-0.218543
327.425	-0.21893
341.524	-0.219321
356.229	-0.219714
371.565	-0.22011
387.56	-0.220508
404.241	-0.220906
421.639	-0.221306
439.783	-0.221705
458.707	-0.222103
478.442	-0.2225
499.025	-0.222894
520.492	-0.223286
542.88	-0.223673
566.229	-0.224055
590.581	-0.224432
615.978	-0.224803
642.466	-0.225166
670.091	-0.225521
698.901	-0.225867
728.949	-0.226204
760.286	-0.22653
792.969	-0.226845
827.055	-0.227149
862.605	-0.22744
899.68	-0.227718
938.347	-0.227984
978.674	-0.228235
1020.73	-0.228473
1064.6	-0.228697
1110.34	-0.228908
1158.06	-0.229104
1207.82	-0.229286
1259.71	-0.229454
1313.83	-0.229609
1370.28	-0.22975
1429.15	-0.229879
1490.55	-0.229996
1554.58	-0.230101
1621.37	-0.230195
1691.02	-0.230278
1763.66	-0.230352
1839.42	-0.230417
1918.43	-0.230474
2000.83	-0.230522
2086.77	-0.230564
2176.4	-0.2306
2269.88	-0.230631
2367.37	-0.230656
2400	-0.230664
